AccountNumber,AccountName
1010,Utvecklingsutgifter
1011,Balanserade utgifter för utveckling
1012,Balanserade utgifter för programvaror
1018,Ackumulerade nedskrivningar på balanserade utgifter
1019,Ackumulerade avskrivningar på balanserade utgifter
1020,Koncessioner m.m.
1028,Ackumulerade nedskrivningar på koncessioner m.m.
1029,Ackumulerade avskrivningar på koncessioner m.m.
1030,Patent
1038,Ackumulerade nedskrivningar på patent
1039,Ackumulerade avskrivningar på patent
1040,Licenser
1048,Ackumulerade nedskrivningar på licenser
1049,Ackumulerade avskrivningar på licenser
1050,Varumärken
1058,Ackumulerade nedskrivningar på varumärken
1059,Ackumulerade avskrivningar på varumärken
1060,"Hyresrätter, tomträtter och liknande"
1068,"Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande"
1069,"Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande"
1070,Goodwill
1078,Ackumulerade nedskrivningar på goodwill
1079,Ackumulerade avskrivningar på goodwill
1080,Förskott för immateriella anläggningstillgångar
1081,Pågående projekt för immateriella anläggningstillgångar
1088,Förskott för immateriella anläggningstillgångar
1110,Byggnader
1111,Byggnader på egen mark
1112,Byggnader på annans mark
1118,Ackumulerade nedskrivningar på byggnader
1119,Ackumulerade avskrivningar på byggnader
1120,Förbättringsutgifter på annans fastighet
1129,Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet
1130,Mark
1140,Tomter och obebyggda markområden
1150,Markanläggningar
1158,Ackumulerade nedskrivningar på markanläggningar
1159,Ackumulerade avskrivningar på markanläggningar
1180,Pågående nyanläggningar och förskott för byggnader och mark
1181,"Pågående ny-, till- och ombyggnad"
1188,Förskott för byggnader och mark
1210,Maskiner och andra tekniska anläggningar
1211,Maskiner
1213,Andra tekniska anläggningar
1218,Ackumulerade nedskrivningar på maskiner och andra tekniska anläggningar
1219,Ackumulerade avskrivningar på maskiner och andra tekniska anläggningar
1220,Inventarier och verktyg
1221,Inventarier
1222,Byggnadsinventarier
1223,Markinventarier
1225,Verktyg
1228,Ackumulerade nedskrivningar på inventarier och verktyg
1229,Ackumulerade avskrivningar på inventarier och verktyg
1230,Installationer
1231,Installationer på egen fastighet
1232,Installationer på annans fastighet
1238,Ackumulerade nedskrivningar på installationer
1239,Ackumulerade avskrivningar på installationer
1240,Bilar och andra transportmedel
1241,Personbilar
1242,Lastbilar
1243,Truckar
1244,Arbetsmaskiner
1245,Traktorer
1246,"Motorcyklar, mopeder och skotrar"
1247,"Båtar, flygplan och helikoptrar"
1248,Ackumulerade nedskrivningar på bilar och andra transportmedel
1249,Ackumulerade avskrivningar på bilar och andra transportmedel
1250,Datorer
1251,"Datorer, företaget"
1257,"Datorer, personal"
1258,Ackumulerade nedskrivningar på datorer
1259,Ackumulerade avskrivningar på datorer
1260,Leasade tillgångar
1269,Ackumulerade avskrivningar på leasade tillgångar
1280,Pågående nyanläggningar och förskott för maskiner och inventarier
1281,"Pågående nyanläggningar, maskiner och inventarier"
1288,Förskott för maskiner och inventarier
1290,Övriga materiella anläggningstillgångar
1291,Konst och liknande tillgångar
1292,Djur som klassificeras som anläggningstillgång
1298,Ackumulerade nedskrivningar på övriga materiella anläggningstillgångar
1299,Ackumulerade avskrivningar på övriga materiella anläggningstillgångar
1310,Andelar i koncernföretag
1311,Aktier i noterade svenska koncernföretag
1312,Aktier i onoterade svenska koncernföretag
1313,Aktier i noterade utländska koncernföretag
1314,Aktier i onoterade utländska koncernföretag
1316,Andra andelar i svenska koncernföretag
1317,Andra andelar i utländska koncernföretag
1318,Ackumulerade nedskrivningar av andelar i koncernföretag
1320,Långfristiga fordringar hos koncernföretag
1321,Långfristiga fordringar hos moderföretag
1322,Långfristiga fordringar hos dotterföretag
1323,Långfristiga fordringar hos andra koncernföretag
1328,Ackumulerade nedskrivningar av långfristiga fordringar hos koncernföretag
1330,"Andelar i intresseföretag, gemensamt styrda företag och övriga ftg som det finns ett ägarintresse i"
1331,Andelar i intresseföretag
1332,Ackumulerade nedskrivningar av andelar i intresseföretag
1333,Andelar i gemensamt styrda företag
1334,Ackumulerade nedskrivningar av andelar i gemensamt styrda företag
1336,Andelar i övriga företag som det finns ett ägarintresse i
1337,Ackumulerade nedskrivningar av andelar i övriga företag som det finns ett ägarintresse i
1338,"Ackumulerade nedskrivn av andelar i intresseftg, gemen styrda ftg o övr ftg det finns ett ägarintr i"
1340,"Långfristiga fordr hos intresseftg, gemen styrda ftg och övr ftg som det finns ett ägarintr i"
1341,Långfristiga fordringar hos intresseföretag
1342,Ackumulerade nedskrivningar av långfristiga fordringar hos intresseföretag
1343,Långfristiga fordringar hos gemensamt styrda företag
1344,Ackumulerade nedskrivningar av långfristiga fordringar hos gemensamt styrda företag
1346,Långfristiga fordringar hos övriga företag som det finns ett ägarintresse i
1347,Ackumulerade nedskrivningar av långfristiga fordringar hos övr företag som det finns ett ägarintr i
1348,"Ack nedskrivn av långfrist fordr hos intrftg, gemen styrda ftg o övr ftg det finns ett ägarintr i"
1350,Andelar och värdepapper i andra företag
1351,Andelar i noterade företag
1352,Andra andelar
1353,Andelar i bostadsrättsföreningar
1354,Obligationer
1356,"Andelar i ekonomiska föreningar, övriga företag"
1357,"Andelar i handelsbolag, andra företag"
1358,Ackumulerade nedskrivningar av andra andelar och värdepapper
1360,"Lån till delägare eller närstående enligt ABL, långfristig del"
1369,"Ackumulerade nedskrivningar av lån till delägare eller närstående enligt ABL, långfristig del"
1370,Uppskjuten skattefordran
1380,Andra långfristiga fordringar
1381,Långfristiga reversfordringar
1382,Långfristiga fordringar hos anställda
1383,"Lämnade depositioner, långfristiga"
1384,Derivat
1385,Värde av kapitalförsäkring
1386,"Förutbetalda leasingavgifter, långfristig del"
1387,Långfristiga kontraktsfordringar
1388,Långfristiga kundfordringar
1389,Ackumulerade nedskrivningar av andra långfristiga fordringar
1410,Lager av råvaror
1419,Förändring av lager av råvaror
1420,Lager av tillsatsmaterial och förnödenheter
1429,Förändring av lager av tillsatsmaterial och förnödenheter
1440,Produkter i arbete
1449,Förändring av produkter i arbete
1450,Lager av färdiga varor
1459,Förändring av lager av färdiga varor
1460,Lager av handelsvaror
1465,Lager av varor VMB
1466,Nedskrivning av varor VMB
1467,Lager av varor VMB förenklad
1469,Förändring av lager av handelsvaror
1470,Pågående arbeten
1471,"Pågående arbeten, nedlagda kostnader"
1478,"Pågående arbeten, fakturering"
1479,Förändring av pågående arbeten
1480,Förskott för varor och tjänster
1481,Remburser
1489,Övriga förskott till leverantörer
1490,Övriga lagertillgångar
1491,Lager av värdepapper
1492,Lager av fastigheter
1493,Djur som klassificeras som omsättningstillgång
1510,Kundfordringar
1511,Kundfordringar
1512,Belånade kundfordringar (factoring)
1513,Kundfordringar – delad faktura
1516,Tvistiga kundfordringar
1518,Ej reskontraförda kundfordringar
1519,Nedskrivning av kundfordringar
1520,Växelfordringar
1525,Osäkra växelfordringar
1529,Nedskrivning av växelfordringar
1530,Kontraktsfordringar
1531,Kontraktsfordringar
1532,Belånade kontraktsfordringar
1536,Tvistiga kontraktsfordringar
1539,Nedskrivning av kontraktsfordringar
1549,Nedskrivning av ej reskontraförda kundfordringar
1550,Konsignationsfordringar
1560,Kundfordringar hos koncernföretag
1561,Kundfordringar hos moderföretag
1562,Kundfordringar hos dotterföretag
1563,Kundfordringar hos andra koncernföretag
1568,Ej reskontraförda kundfordringar hos koncernföretag
1569,Nedskrivning av kundfordringar hos koncernföretag
